date,,2023-01-29_FY,2022-01-30_FY,2021-01-31_FY,2020-01-26_FY,2019-01-27_FY,2018-01-28_FY,2017-01-29_FY,2016-01-31_FY,2015-01-25_FY,2014-01-26_FY,2013-01-27_FY,2012-01-29_FY,2011-01-30_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-28_FY,2006-01-29_FY,2005-01-30_FY,2004-01-31_FY,2003-01-26_FY,2002-01-27_FY,2001-01-28_FY,2000-01-30_FY,1999-01-31_FY
,operatingIncomeRatio,0.20675465262845702,0.3730772088875678,0.271784107946027,0.2606704524638212,0.3246841925571868,0.3304508956145769,0.27988422575976846,0.14910179640718563,0.16212493113862694,0.12014710318868849,0.15145208390622872,0.16215866711022955,0.07217744769084491,-0.02974496797632307,-0.020643185602677364,0.20409335604437437,0.14776338801428976,0.14315732670170775,0.05651300252284415,0.04945678558596118,0.07540717286209044,0.17651487326128118,0.17720301823562692,0.145260347129506,-0.015191545574636724
,totalOtherIncomeExpensesNet,-1396000000.0,-100000000.0,-123000000.0,124000000.0,92000000.0,-14000000.0,-29000000.0,-4000000.0,-4153000.0,14027000.0,13800000.0,15097000.0,15422000.0,16651000.0,27746000.0,64995000.0,41028000.0,20124000.0,11852000.0,-3484000.0,6571000.0,11017000.0,16673000.0,1800000.0,6800000.0
,incomeBeforeTax,4181000000.0,9941000000.0,4409000000.0,2970000000.0,3896000000.0,3196000000.0,1905000000.0,743000000.0,754836000.0,510254000.0,662039000.0,663396000.0,271169000.0,-82294000.0,-42954000.0,901341000.0,494480000.0,360221000.0,125445000.0,86673000.0,150557000.0,252749000.0,146964000.0,56200000.0,4500000.0
,incomeBeforeTaxRatio,0.15500111218210127,0.36936167050605634,0.26440779610194903,0.27202784392745927,0.33253670194605667,0.3290096767551987,0.27568740955137483,0.14830339321357286,0.1612378236324329,0.1235433380095018,0.15467626319489533,0.16593487129589563,0.0765298764516445,-0.02473932381265886,-0.01254183018921363,0.2199540735896297,0.1611329095589081,0.15162813956552357,0.062409423128874,0.04754559243422045,0.07884848335669961,0.18455958541655865,0.1998792270531401,0.1500667556742323,0.029722589167767502
,incomeTaxExpense,-187000000.0,189000000.0,77000000.0,174000000.0,-245000000.0,149000000.0,239000000.0,129000000.0,124249000.0,70264000.0,99503000.0,82306000.0,18023000.0,-14307000.0,-12913000.0,103696000.0,46350000.0,57635000.0,25089000.0,12254000.0,59758000.0,75825000.0,47027000.0,18100000.0,400000.0
,netIncome,4368000000.0,9752000000.0,4332000000.0,2796000000.0,4141000000.0,3047000000.0,1666000000.0,614000000.0,630587000.0,439990000.0,562536000.0,581090000.0,253146000.0,-67987000.0,-30041000.0,797645000.0,448834000.0,302586000.0,100356000.0,74419000.0,90799000.0,176924000.0,99937000.0,38100000.0,4100000.0
,netIncomeRatio,0.16193371394676356,0.3623393029649996,0.25979010494752625,0.2560908591317091,0.35344827586206895,0.3136709903232448,0.2410998552821997,0.12255489021956088,0.13469743823943872,0.10653093026375236,0.13142876234270737,0.14534771744377714,0.0714433880872371,-0.020438335820974044,-0.008771455992786857,0.19464915834118296,0.1462585510616465,0.12736778877015364,0.0499275385030992,0.04082350262898771,0.04755251127682517,0.1291914907289019,0.13591988727858292,0.10173564753004005,0.027080581241743725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.76,3.91,1.755,1.1475,1.7025,1.2725,0.77,0.2825,0.285,0.1875,0.2275,0.24,0.11,-0.03,-0.0125,0.3625,0.211773,0.148408,0.050025,0.038353,0.049191,0.103385,0.063782,0.02668,0.005833
,EPSDiluted,1.74,3.85,1.725,1.13,1.6575,1.205,0.6425,0.27,0.28,0.185,0.225,0.235,0.1075,-0.03,-0.0125,0.3275,0.191763,0.137569,0.047524,0.035851,0.045023,0.085876,0.05211,0.022095,0.003125
,weightedAverageShsOut,2487000000.0,2496000000.0,2468000000.0,2436000000.0,2432000000.0,2396000000.0,2164000000.0,2172000000.0,2209276000.0,2351572000.0,2477296000.0,2414584000.0,2300708000.0,2198296000.0,2192504000.0,2200432000.0,2113367316.0,2035262368.0,1991748124.0,1930122940.0,1841235384.0,1715322340.0,1571190404.0,1428035982.0,699120000.0
,weightedAverageShsOutDil,2507000000.0,2535000000.0,2512000000.0,2472000000.0,2500000000.0,2528000000.0,2596000000.0,2276000000.0,2252272000.0,2378068000.0,2499828000.0,2465484000.0,2354736000.0,2198296000.0,2192504000.0,2426928000.0,2347850076.0,2194314844.0,2117637180.0,2071448276.0,2019706148.0,2051862068.0,1910572712.0,1724411053.0,1314864000.0
